Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Sa_1s_g,Observed_DS,Obs_Repair_Category,RF_DS,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct
53 1408,34.19333333,-118.4733333,HWB3,1963,conventional,0.6773,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1629,34.03166667,-118.4316667,HWB1,1963,conventional,0.443,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1628,34.03166667,-118.4333333,HWB5,1963,conventional,0.443,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1627,34.03166667,-118.435,HWB1,1963,conventional,0.443,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1626,34.44333333,-118.605,HWB5,1964,conventional,0.7032,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1616,34.03166667,-118.4166667,HWB5,1964,conventional,0.3638,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1615,34.03166667,-118.4183333,HWB5,1963,conventional,0.3638,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1582,34.035,-118.3616667,HWB7,1964,conventional,0.42,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,1,0
53 0490,34.20333333,-118.405,HWB5,1968,conventional,0.4519,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,1,0
53 1605,34.03,-118.4416667,HWB10,1963,conventional,0.4484,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1630,34.03166667,-118.4333333,HWB1,1963,conventional,0.443,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2210,34.265,-118.4716667,HWB4,1977,seismic,1.109,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
